Tweet,Num_Favorites,Num_Retweets,Num_Followers,Created_At,id
"I can confirm this. This is what Democrats torpedoed the rescue package for.

This will go down as one of the most cynical, disgusting, malevolent actions in history. Millions are losing jobs while they play these games. https://t.co/SUCtYxmXGo",44996,23281,533470,2020-03-23 16:49:38,1242131400779878400
"To those who are still going to parks and beaches in LA: The rest of us are not on lockdown so you can go hiking and swimming. With your actions, you show disregard and contempt for cash-strapped people who desperately need this period to be as brief as possible. Stop being dumb.",63826,11363,14192844,2020-03-23 16:56:12,1242133055289974789
Italian mayor addresses his citizens about their irresponsible behavior (in a very Italian way). “Doing your hair?! Why do you need this at the moment? A barbecue?! Are you kidding me? You are making a joke out of your lives!” https://t.co/VVfiBeru3f,77364,38609,19282,2020-03-23 17:18:33,1242138680334131201
"I’m not one for conspiracy theories, but the geographical coincidence alone is pretty unsettling. The rest of it is right out of a dystopian disaster movie... https://t.co/AEmJ8nOXRO",51374,24521,2309133,2020-03-23 17:20:19,1242139124414345223
"Exclusive: 2020 Tokyo Olympics will be postponed, likely to 2021, veteran IOC member Dick Pound says https://t.co/bNSJvxDhBN",9919,11483,4037851,2020-03-23 17:25:36,1242140452578406400
"We must suspend rent and mortgage payments, evictions, and foreclosures across the country. We cannot abandon our people and allow families to be thrown out of their homes during a pandemic. https://t.co/TkAbdwz9ie",62425,15607,11601231,2020-03-23 17:39:30,1242143951177617408
Just a quick reminder... 💙 #asthma #jeffreestarapproved https://t.co/eQzjxCWwVO,134311,18393,7211294,2020-03-23 18:22:02,1242154655276097536
"BREAKING: Dr. Fauci is warning Trump officials NOT to listen to growing push among WH advisers, GOP lawmakers to restart the economy

But Trump is alarmed by stock market &amp; impact of high unemployment for 2020 election -- &amp; weighing easing restrictions

https://t.co/c5c1c7HQ8j",27731,14882,58163,2020-03-23 18:22:47,1242154844057714688
"Today I am calling for an immediate global ceasefire in all corners of the world.

It is time to put armed conflict on lockdown and focus together on the true fight of our lives – the #COVID19 pandemic.

https://t.co/F6JRA6ekvZ https://t.co/7WgtFMk5GC",39180,17445,826881,2020-03-23 18:23:42,1242155073981087744
I am a PROUD Trump supporter and I will gladly DIE on the job at Foot Locker if it means the Dow goes up 0.3 percent,117385,13392,57131,2020-03-23 18:34:39,1242157830276341764
"if you find yourself bored during quarantine, i highly recommend becoming a bts stan

we have:
– 8 albums
– 6 eps
– 96 episodes of run bts
– 32 episodes of bon voyage
– 1168 videos on bangtantv
– 2 movies
– 1 docuseries
and, as of tomorrow, a 30-part course in the korean language",50295,18792,19121,2020-03-23 18:45:54,1242160660286296065
"A climate change study on aviation to combat #COVIDー19? Is this a joke, @SpeakerPelosi?  

How does that help average Americans right now? 

Outrageous. https://t.co/9iaauA2jUa",31419,15397,74396,2020-03-23 19:31:19,1242172088854642692
